,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
32826,132305,Albor CES,Region XIII,CARAGA,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Island,LIBJO (ALBOR),Albor,Lone District,School with no Annexes,,,132305.0,-,1/1/2008,Elementary,DepED Managed,Elementary,Monograde,P 15 M or more but less than P 25 M,,Rural,132305.0,49.0,44.0,32.0,29.0,55.0,42.0,57.0,50.0,43.0,53.0,35.0,44.0,48.0,48.0,5.0,2.0,,,,,,,,,,,,,322000.0,132305.0,10.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,322000.0
32966,131616,Bayugan CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Bayugan City,CITY OF BAYUGAN,Bayugan Central,1st District,School with no Annexes,BCES,,131616.0,Pomelo,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,131616.0,106.0,116.0,225.0,177.0,170.0,187.0,210.0,184.0,198.0,211.0,185.0,183.0,175.0,177.0,21.0,13.0,,,,,,,,,,,,,973000.0,131616.0,37.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0,973000.0
32968,131626,Bayugan West CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Bayugan City,CITY OF BAYUGAN,Bayugan West,1st District,School with no Annexes,,-,131626.0,"Purok 23, Barangay Poblacion",1/1/1979,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,131626.0,68.0,65.0,89.0,89.0,87.0,89.0,96.0,81.0,82.0,97.0,85.0,88.0,83.0,73.0,5.0,6.0,,,,,,,,,,,,,545000.0,131626.0,18.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,545000.0
32969,235002,BCD SPED Center,Region XIII,CARAGA,SURIGAO DEL SUR,SURIGAO DEL SUR,Bislig City,CITY OF BISLIG,Mangagoy I,2nd District,School with no Annexes,SPED Center,BCD SPED Center,235002.0,"Andres Soriano Ave.,Mangagoy",1/1/2004,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,235002.0,23.0,27.0,13.0,23.0,13.0,25.0,14.0,23.0,17.0,23.0,13.0,24.0,11.0,15.0,47.0,22.0,,,,,,,,,,,,,177000.0,235002.0,4.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,177000.0
33012,131814,Bonifacio CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,ROSARIO,Rosario II,2nd District,School with no Annexes,,-,131814.0,-,1/1/1951,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,131814.0,100.0,97.0,154.0,120.0,134.0,103.0,123.0,116.0,130.0,116.0,117.0,128.0,95.0,86.0,15.0,11.0,,,,,,,,,,,,,574000.0,131814.0,10.0,0.0,7.0,0.0,0.0,1.0,18.0,0.0,574000.0
33031,131509,Buenavista SPED IS,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,BUENAVISTA,Buenavista I,2nd District,School with no Annexes,,Buenavista West CES,131509.0,Rizal Avenue,1/1/1969,Elementary,DepED Managed,"Integrated - Kinder, Elem & Sec",Monograde,P 45 M or more but less than P 55 M,,Partially Urban,131509.0,46.0,42.0,52.0,30.0,35.0,45.0,46.0,42.0,50.0,35.0,38.0,44.0,38.0,40.0,21.0,3.0,,,,,,,,,,,,,310000.0,131509.0,12.0,0.0,0.0,0.0,0.0,2.0,13.0,10.0,310000.0
33050,212502,Butuan City SPED Center,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Butuan City,BUTUAN CITY (Capital),Central Butuan District I,1st District,School with no Annexes,BC SPED Center,Butuan Central Elementary School-SPED Center,212502.0,A.D. Curato Street,1/1/2005,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,212502.0,137.0,143.0,36.0,39.0,33.0,40.0,28.0,44.0,31.0,44.0,35.0,40.0,13.0,26.0,48.0,32.0,,,,,,,,,,,,,340000.0,212502.0,8.0,0.0,1.0,0.0,0.0,6.0,9.0,10.0,340000.0
33052,132290,C.V. Diez Mem. CES,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao City,SURIGAO CITY (Capital),Surigao City District IV,2nd District,School with no Annexes,,-,132290.0,"Roxas St., Brgy. Washington, Surigao City",1/1/2002,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,132290.0,99.0,100.0,158.0,138.0,139.0,125.0,145.0,111.0,137.0,130.0,133.0,116.0,118.0,124.0,0.0,0.0,,,,,,,,,,,,,803000.0,132290.0,35.0,0.0,0.0,0.0,0.0,10.0,29.0,6.0,803000.0
33128,132671,Cantilan East Central Elementary School,Region XIII,CARAGA,SURIGAO DEL SUR,SURIGAO DEL SUR,Surigao del Sur,CANTILAN,Cantilan II,1st District,School with no Annexes,CECES,Cantilan East Cental Elementary School,132671.0,La Purisima,1/1/1960,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,132671.0,32.0,38.0,56.0,62.0,82.0,61.0,73.0,69.0,86.0,69.0,61.0,66.0,60.0,67.0,5.0,4.0,,,,,,,,,,,,,529000.0,132671.0,27.0,0.0,0.0,0.0,0.0,4.0,37.0,0.0,529000.0
33141,131417,Carmen CES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,CARMEN,Carmen,2nd District,School with no Annexes,,-,131417.0,BURGOS STREET,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,131417.0,57.0,43.0,86.0,69.0,81.0,76.0,86.0,68.0,95.0,88.0,91.0,71.0,76.0,57.0,7.0,5.0,,,,,,,,,,,,,500000.0,131417.0,21.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,500000.0
33144,132695,Carrascal CES,Region XIII,CARAGA,SURIGAO DEL SUR,SURIGAO DEL SUR,Surigao del Sur,CARRASCAL,Carrascal,1st District,School with no Annexes,CCES,-,132695.0,Cervantes Street,1/1/1960,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,132695.0,35.0,37.0,49.0,63.0,67.0,52.0,63.0,51.0,57.0,55.0,60.0,60.0,73.0,51.0,10.0,5.0,,,,,,,,,,,,,412000.0,132695.0,18.0,0.0,0.0,0.0,0.0,8.0,20.0,1.0,412000.0
33173,132378,Claver CES,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao del Norte,CLAVER,Claver,2nd District,School with no Annexes,,-,132378.0,"Tayaga, Claver, Surigao del Norte",1/1/1931,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 45 M or more but less than P 55 M,,Rural,132378.0,43.0,40.0,77.0,64.0,67.0,48.0,58.0,61.0,68.0,59.0,75.0,47.0,60.0,57.0,4.0,9.0,,,,,,,,,,,,,389000.0,132378.0,16.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,389000.0
33195,132709,Cortes CES,Region XIII,CARAGA,SURIGAO DEL SUR,SURIGAO DEL SUR,Surigao del Sur,CORTES,Cortes,1st District,School with no Annexes,,-,132709.0,Poblacion Cortes,1/1/1933,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,132709.0,22.0,18.0,29.0,33.0,29.0,26.0,37.0,30.0,49.0,29.0,32.0,38.0,38.0,36.0,14.0,12.0,,,,,,,,,,,,,278000.0,132709.0,13.0,0.0,0.0,0.0,0.0,5.0,16.0,1.0,278000.0
33223,132139,Dapa Central Elementary School & SPED Center,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Siargao,DAPA,Dapa West,1st District,School with no Annexes,,,132139.0,Quezon Street,1/1/1929,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,132139.0,76.0,75.0,96.0,92.0,101.0,89.0,112.0,105.0,93.0,112.0,113.0,110.0,99.0,84.0,27.0,19.0,,,,,,,,,,,,,635000.0,132139.0,21.0,0.0,0.0,0.0,0.0,8.0,35.0,4.0,635000.0
33276,131751,Dona Adela CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,LA PAZ,La Paz II,2nd District,School with no Annexes,,-,131751.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131751.0,42.0,44.0,48.0,51.0,55.0,49.0,60.0,55.0,69.0,71.0,56.0,55.0,44.0,49.0,9.0,3.0,,,,,,,,,,,,,311000.0,131751.0,3.0,0.0,6.0,0.0,0.0,2.0,9.0,0.0,311000.0
33286,131537,Dona Telesfora ES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,SANTIAGO,Santiago,2nd District,School with no Annexes,DTES,-,131537.0,SAN ISIDRO,1/1/1983,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,131537.0,37.0,40.0,41.0,27.0,41.0,38.0,41.0,27.0,40.0,43.0,33.0,31.0,28.0,25.0,0.0,0.0,,,,,,,,,,,,,221000.0,131537.0,8.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,221000.0
33308,131596,East Bayugan CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Bayugan City,CITY OF BAYUGAN,Bayugan East,1st District,School with no Annexes,EBCES,-,131596.0,"P-8, Taglatawan. Bayugan City",1/1/1971,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,131596.0,91.0,78.0,149.0,148.0,170.0,119.0,147.0,134.0,149.0,181.0,122.0,129.0,126.0,145.0,4.0,1.0,,,,,,,,,,,,,800000.0,131596.0,28.0,0.0,6.0,0.0,0.0,9.0,31.0,0.0,800000.0
33309,131652,East Bunawan CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,BUNAWAN,Bunawan I,2nd District,School with no Annexes,EBCES,-,131652.0,Purok 1,1/1/1963,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131652.0,47.0,56.0,70.0,75.0,85.0,73.0,76.0,75.0,81.0,78.0,92.0,98.0,67.0,66.0,12.0,10.0,,,,,,,,,,,,,422000.0,131652.0,15.0,2.0,0.0,0.0,0.0,2.0,16.0,0.0,422000.0
33310,131775,East Prosperidad CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,PROSPERIDAD (Capital),Prosperidad I,1st District,School with no Annexes,,,131775.0,"-P9, Poblacion, Prosperidad, Agusan del Sur",1/1/1950,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131775.0,89.0,88.0,143.0,148.0,201.0,161.0,176.0,129.0,200.0,147.0,152.0,176.0,133.0,122.0,10.0,8.0,,,,,,,,,,,,,847000.0,131775.0,23.0,0.0,11.0,0.0,0.0,9.0,32.0,0.0,847000.0
33319,131673,Esperanza CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,ESPERANZA,Esperanza I,1st District,School with no Annexes,ECES,-,131673.0,-,1/1/2008,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131673.0,48.0,47.0,89.0,69.0,83.0,80.0,71.0,65.0,61.0,68.0,52.0,64.0,59.0,55.0,12.0,6.0,,,,,,,,,,,,,398000.0,131673.0,13.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,398000.0
33330,132074,F.R. Sibayan Central Elem. School,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Butuan City,BUTUAN CITY (Capital),Southeast II Butuan District,1st District,School with no Annexes,FRSCES,F.R. Sibayan Memorial ES,132074.0,"Km. 3, Baan",1/1/1942,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,132074.0,40.0,48.0,60.0,35.0,66.0,42.0,50.0,57.0,51.0,59.0,52.0,48.0,47.0,45.0,8.0,2.0,,,,,,,,,,,,,335000.0,132074.0,13.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,335000.0
33334,132493,Ferdinand ES,Region XIII,CARAGA,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Island,BASILISA (RIZAL),Rizal II,Lone District,School with no Annexes,,-,132493.0,-,1/1/1972,Elementary,DepED Managed,Elementary,Monograde,,,Partially Urban,132493.0,7.0,13.0,14.0,9.0,18.0,9.0,18.0,15.0,12.0,18.0,12.0,10.0,14.0,9.0,8.0,7.0,,,,,,,,,,,,,146000.0,132493.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,146000.0
33357,132152,General Luna CES,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Siargao,GENERAL LUNA,General Luna,1st District,School with no Annexes,GLCES,-,132152.0,-,12/31/1928,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,132152.0,73.0,59.0,91.0,71.0,85.0,96.0,119.0,91.0,118.0,113.0,114.0,91.0,84.0,112.0,5.0,2.0,,,,,,,,,,,,,588000.0,132152.0,27.0,0.0,0.0,0.0,0.0,6.0,32.0,2.0,588000.0
33501,131450,Kitcharao CES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,KITCHARAO,Kitcharao,2nd District,School with no Annexes,Kitcharao Central Elementary School,-,131450.0,"Songkoy, KItcharao, Agusan del Norte",1/1/2002,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,131450.0,46.0,49.0,83.0,79.0,87.0,82.0,90.0,87.0,92.0,78.0,83.0,96.0,79.0,77.0,19.0,13.0,,,,,,,,,,,,,567000.0,131450.0,26.0,0.0,0.0,0.0,0.0,5.0,29.0,2.0,567000.0
33512,131756,La Paz CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,LA PAZ,La Paz I,2nd District,School with no Annexes,,-,131756.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131756.0,38.0,46.0,86.0,79.0,89.0,95.0,78.0,71.0,53.0,84.0,62.0,74.0,53.0,60.0,9.0,2.0,,,,,,,,,,,,,467000.0,131756.0,14.0,0.0,3.0,0.0,0.0,4.0,12.0,9.0,467000.0
33544,131853,Lapinigan CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,SAN FRANCISCO,San Francisco II,2nd District,School with no Annexes,,-,131853.0,-Purok 2,1/1/1950,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131853.0,62.0,65.0,65.0,64.0,76.0,59.0,59.0,70.0,79.0,77.0,53.0,69.0,52.0,46.0,5.0,0.0,,,,,,,,,,,,,413000.0,131853.0,14.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,413000.0
33563,132118,Libertad CES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Butuan City,BUTUAN CITY (Capital),West Butuan District I,1st District,School with no Annexes,,-,132118.0,Purok 1,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,132118.0,123.0,118.0,167.0,162.0,159.0,154.0,166.0,144.0,193.0,183.0,167.0,159.0,154.0,156.0,4.0,0.0,,,,,,,,,,,,,855000.0,132118.0,27.0,0.0,0.0,0.0,0.0,11.0,33.0,0.0,855000.0
33591,131730,Loreto Central Elem School,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,LORETO,Loreto North,1st District,School with no Annexes,,-,131730.0,"Pob. Loreto, Agusan del Sur",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131730.0,63.0,55.0,52.0,55.0,61.0,60.0,60.0,57.0,85.0,64.0,57.0,59.0,62.0,52.0,6.0,4.0,,,,,,,,,,,,,412000.0,131730.0,13.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,412000.0
33637,132824,Madrid CES,Region XIII,CARAGA,SURIGAO DEL SUR,SURIGAO DEL SUR,Surigao del Sur,MADRID,Madrid,1st District,School with no Annexes,,-,132824.0,-Urbiztondo St.,1/1/1929,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,132824.0,58.0,57.0,53.0,73.0,65.0,67.0,63.0,60.0,50.0,64.0,48.0,38.0,43.0,56.0,2.0,5.0,,,,,,,,,,,,,501000.0,132824.0,26.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,501000.0
33638,131485,Magallanes CES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,MAGALLANES,Magallanes,2nd District,School with no Annexes,MCES,-,131485.0,"Poblacion, Magallanes",1/1/1947,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,131485.0,74.0,76.0,81.0,96.0,87.0,79.0,75.0,85.0,100.0,74.0,106.0,61.0,56.0,82.0,17.0,14.0,,,,,,,,,,,,,558000.0,131485.0,28.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,558000.0
33691,132434,Mainit CES,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao del Norte,MAINIT,Mainit I,2nd District,School with no Annexes,,MAINIT CENTRAL ELEM. SCHOOL,132434.0,-,1/1/1946,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,132434.0,20.0,16.0,51.0,29.0,43.0,42.0,56.0,33.0,50.0,39.0,35.0,39.0,38.0,24.0,8.0,4.0,,,,,,,,,,,,,325000.0,132434.0,13.0,5.0,2.0,0.0,0.0,4.0,17.0,1.0,325000.0
33755,132254,Mariano Espina Memorial Central Elementary School,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao City,SURIGAO CITY (Capital),Surigao City District I,2nd District,School with no Annexes,MEMCES,Mariano Espina MCES,132254.0,Navarro Street,1/1/2008,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,132254.0,94.0,91.0,126.0,96.0,113.0,105.0,105.0,115.0,117.0,121.0,114.0,95.0,116.0,98.0,26.0,29.0,,,,,,,,,,,,,703000.0,132254.0,27.0,0.0,0.0,0.0,0.0,12.0,33.0,5.0,703000.0
33778,132532,Mayag ES,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao del Norte,SISON,Sison,2nd District,School with no Annexes,,-,132532.0,Purok 2,1/1/1960,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,132532.0,12.0,17.0,7.0,15.0,17.0,11.0,20.0,15.0,20.0,13.0,12.0,8.0,8.0,7.0,0.0,0.0,,,,,,,,,,,,,131000.0,132532.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,131000.0
33845,131637,Noli CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Bayugan City,CITY OF BAYUGAN,Bayugan North,1st District,School with no Annexes,NCES,,131637.0,Purok 1,1/1/1958,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,131637.0,26.0,48.0,42.0,50.0,43.0,35.0,53.0,44.0,70.0,46.0,53.0,52.0,65.0,55.0,5.0,6.0,,,,,,,,,,,,,323000.0,131637.0,12.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,323000.0
33847,131526,North Cabadbaran CES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Cabadbaran City,CITY OF CABADBARAN,North Cabadbaran,2nd District,School with no Annexes,NORCACES,,131526.0,Ojeda Avenue,1/1/2002,Elementary,DepED Managed,Kinder & Elementary,Monograde,,Component City,Partially Urban,131526.0,168.0,153.0,210.0,195.0,236.0,220.0,221.0,173.0,203.0,202.0,177.0,168.0,174.0,164.0,3.0,0.0,,,,,,,,,,,,,1135000.0,131526.0,61.0,0.0,0.0,0.0,0.0,9.0,59.0,1.0,1135000.0
33961,132503,Puerto Princesa ES,Region XIII,CARAGA,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Island,BASILISA (RIZAL),Rizal,Lone District,School with no Annexes,PTO. PRINCESA,None,132503.0,P-4 Castulo St.,1/1/1938,Elementary,DepED Managed,Elementary,Monograde,,,Partially Urban,132503.0,9.0,14.0,23.0,20.0,14.0,11.0,29.0,17.0,22.0,20.0,16.0,16.0,24.0,22.0,4.0,1.0,,,,,,,,,,,,,169000.0,132503.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,169000.0
33998,131827,Rosario CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,ROSARIO,Rosario I,2nd District,School with no Annexes,none,none,131827.0,Purok 1,1/1/1948,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,131827.0,96.0,78.0,161.0,126.0,119.0,106.0,101.0,112.0,112.0,134.0,120.0,122.0,88.0,106.0,21.0,8.0,,,,,,,,,,,,,622000.0,131827.0,22.0,0.0,1.0,0.0,0.0,3.0,24.0,0.0,622000.0
34001,132506,Roxas Elementary School,Region XIII,CARAGA,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Island,BASILISA (RIZAL),Rizal,Lone District,School with no Annexes,RoxasES,Roxas PS,132506.0,"Roxas,Basilisa,Dinagat Islands",1/1/1970,Elementary,DepED Managed,Elementary,Combined Monograde and Multigrade,,,Partially Urban,132506.0,5.0,6.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,11.0,7.0,10.0,5.0,9.0,2.0,,,,,,,,,,,,,99000.0,132506.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,99000.0
34007,131534,RT Romualdez CES (Agay CES),Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,REMEDIOS T. ROMUALDEZ,R.T. Romualdez,2nd District,School with no Annexes,RTRCES,-Agay CES,131534.0,-Ilang-ilang St.,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,131534.0,52.0,50.0,83.0,55.0,70.0,67.0,72.0,69.0,74.0,76.0,72.0,64.0,73.0,63.0,9.0,6.0,,,,,,,,,,,,,457000.0,131534.0,21.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,457000.0
34022,131624,Salvacion CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Bayugan City,CITY OF BAYUGAN,Bayugan South,1st District,School with no Annexes,SCES,Salvacion Elementary School,131624.0,"P-5, Salvacion, Bayugan City",1/1/2002,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,131624.0,51.0,42.0,83.0,69.0,77.0,67.0,75.0,67.0,69.0,79.0,72.0,73.0,56.0,56.0,7.0,3.0,,,,,,,,,,,,,377000.0,131624.0,8.0,0.0,5.0,0.0,0.0,1.0,15.0,0.0,377000.0
34050,131844,San Francisco Pilot CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,SAN FRANCISCO,San Francisco I,2nd District,School with no Annexes,,-,131844.0,Quirino St.,1/1/1957,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131844.0,154.0,137.0,291.0,252.0,228.0,224.0,252.0,253.0,267.0,248.0,270.0,262.0,224.0,247.0,35.0,29.0,,,,,,,,,,,,,1221000.0,131844.0,53.0,0.0,0.0,0.0,0.0,8.0,54.0,0.0,1221000.0
34075,132522,San Jose CES-SPED Center,Region XIII,CARAGA,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Island,SAN JOSE (Capital),San Jose,Lone District,School with no Annexes,Central,San Jose CES,132522.0,"P-2 Poblacion, San Jose",1/1/1969,Elementary,DepED Managed,Elementary,Monograde,,,Partially Urban,132522.0,32.0,24.0,43.0,36.0,43.0,45.0,51.0,36.0,52.0,53.0,32.0,52.0,47.0,38.0,22.0,15.0,,,,,,,,,,,,,378000.0,132522.0,12.0,0.0,0.0,0.0,0.0,4.0,24.0,1.0,378000.0
34155,131546,Santiago CES,Region XIII,CARAGA,AGUSAN DEL NORTE,AGUSAN DEL NORTE,Agusan del Norte,SANTIAGO,Santiago,2nd District,School with no Annexes,,-,131546.0,Purok 4,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,131546.0,54.0,50.0,113.0,81.0,129.0,86.0,99.0,92.0,92.0,98.0,77.0,91.0,74.0,95.0,9.0,5.0,,,,,,,,,,,,,545000.0,131546.0,26.0,0.0,0.0,0.0,0.0,2.0,30.0,1.0,545000.0
34172,132507,Sering ES,Region XIII,CARAGA,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Island,BASILISA (RIZAL),Rizal,Lone District,School with no Annexes,,-,132507.0,PUROK 4,1/1/1972,Elementary,DepED Managed,Elementary,Monograde,,,Partially Urban,132507.0,13.0,13.0,20.0,19.0,16.0,14.0,19.0,23.0,17.0,30.0,19.0,12.0,20.0,15.0,2.0,3.0,,,,,,,,,,,,,163000.0,132507.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,163000.0
34176,131887,Sibagat CES,Region XIII,CARAGA,AGUSAN DEL SUR,AGUSAN DEL SUR,Agusan del Sur,SIBAGAT,Sibagat I,1st District,School with no Annexes,,-,131887.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,131887.0,63.0,62.0,82.0,67.0,78.0,67.0,91.0,91.0,81.0,91.0,87.0,81.0,74.0,95.0,24.0,14.0,,,,,,,,,,,,,496000.0,131887.0,3.0,0.0,15.0,0.0,0.0,6.0,19.0,0.0,496000.0
34192,132534,Sison CES,Region XIII,CARAGA,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao del Norte,SISON,Sison,2nd District,School with no Annexes,,-,132534.0,-,1/1/1930,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,132534.0,38.0,40.0,70.0,55.0,58.0,68.0,60.0,56.0,59.0,77.0,51.0,53.0,47.0,49.0,21.0,17.0,,,,,,,,,,,,,420000.0,132534.0,19.0,0.0,0.0,0.0,0.0,4.0,18.0,9.0,420000.0
